gdp,cpi,rem,fx
22283109803,5.00686,1.52133,7.402824999
25762224563,5.37409,1.73123,7.365758333
31218296292,6.31634,1.78099,7.377549999
36848080899,7.46595,1.69886,7.511433332
40499388869,8.44269,1.97533,7.899649999
42206011275,9.30568,2.48543,8.539999999
37759179895,10.239,2.97675,11.11271667
35730185634,15.3932,2.0095,16.69870833
34961486348,18.9495,2.30539,18.60734167
33987207295,19.167,2.53331,20.38568333
37791488666,19.9471,2.69902,20.567675
43152128959,22.7118,2.92454,21.094675
48513773721,25.4924,2.80745,21.73668333
50508286642,28.5967,2.90051,24.3105
51784144943,34.1048,3.57252,27.47863333
60422328242,37.0552,4.20044,25.51249167
62036529147,39.544,4.17012,27.11984167
73159336915,43.6512,4.71847,26.41716667
84644328727,46.6334,6.33239,25.71446667
94648084429,50.1198,5.15066,26.2161
94106317565,52.9216,7.22482,29.47065833
74492416330,57.8089,6.88662,40.89305
85640171045,61.2422,7.81526,39.08898333
83669788377,63.6433,8.2754,44.19225
78921234458,67.0818,11.0997,50.99265
84307345888,68.9083,11.547,51.60356667
87039092974,70.4718,11.7637,54.20333333
95001999685,73.8481,12.0713,56.03991667
1.0742E+11,78.7187,12.784,55.08549167
1.27653E+11,83.022,12.1392,51.3142725
1.5598E+11,85.4642,10.5381,46.14839118
1.81625E+11,92.4588,10.3789,44.32328761
1.75975E+11,96.354,11.3423,47.67968845
2.08369E+11,100,10.3454,45.10966418
